name	HexA	HexN	DP	Ac	S	formula	neutral_mass	floating_Na	floating_NH3
HS_HexA5_HexN5_Ac0_S0_pNP	5	5	10	0	0	C66H100N6O53	1824.531422	0	0
HS_HexA5_HexN5_Ac0_S0_pNP	5	5	10	0	0	C66H100N6O53	1841.557971	0	1
HS_HexA5_HexN5_Ac0_S0_pNP	5	5	10	0	0	C66H100N6O53	1858.584520	0	2
HS_HexA5_HexN5_Ac0_S0_pNP	5	5	10	0	0	C66H100N6O53	1875.611069	0	3
HS_HexA5_HexN5_Ac0_S0_pNP	5	5	10	0	0	C66H100N6O53	1892.637618	0	4
HS_HexA5_HexN5_Ac0_S0_pNP	5	5	10	0	0	C66H100N6O53	1909.664168	0	5
HS_HexA5_HexN5_Ac0_S0_pNP	5	5	10	0	0	C66H100N6O53	1846.513366	1	0
HS_HexA5_HexN5_Ac0_S0_pNP	5	5	10	0	0	C66H100N6O53	1863.539915	1	1
HS_HexA5_HexN5_Ac0_S0_pNP	5	5	10	0	0	C66H100N6O53	1880.566465	1	2
HS_HexA5_HexN5_Ac0_S0_pNP	5	5	10	0	0	C66H100N6O53	1897.593014	1	3
HS_HexA5_HexN5_Ac0_S0_pNP	5	5	10	0	0	C66H100N6O53	1914.619563	1	4
HS_HexA5_HexN5_Ac0_S0_pNP	5	5	10	0	0	C66H100N6O53	1868.495311	2	0
HS_HexA5_HexN5_Ac0_S0_pNP	5	5	10	0	0	C66H100N6O53	1885.521860	2	1
HS_HexA5_HexN5_Ac0_S0_pNP	5	5	10	0	0	C66H100N6O53	1902.548409	2	2
HS_HexA5_HexN5_Ac0_S0_pNP	5	5	10	0	0	C66H100N6O53	1919.574958	2	3
HS_HexA5_HexN5_Ac0_S1_pNP	5	5	10	0	1	C66H100N6O56S	1904.488237	0	0
HS_HexA5_HexN5_Ac0_S1_pNP	5	5	10	0	1	C66H100N6O56S	1921.514786	0	1
HS_HexA5_HexN5_Ac0_S1_pNP	5	5	10	0	1	C66H100N6O56S	1938.541335	0	2
HS_HexA5_HexN5_Ac0_S1_pNP	5	5	10	0	1	C66H100N6O56S	1955.567884	0	3
HS_HexA5_HexN5_Ac0_S1_pNP	5	5	10	0	1	C66H100N6O56S	1972.594434	0	4
HS_HexA5_HexN5_Ac0_S1_pNP	5	5	10	0	1	C66H100N6O56S	1989.620983	0	5
HS_HexA5_HexN5_Ac0_S1_pNP	5	5	10	0	1	C66H100N6O56S	2006.647532	0	6
HS_HexA5_HexN5_Ac0_S1_pNP	5	5	10	0	1	C66H100N6O56S	1926.470181	1	0
HS_HexA5_HexN5_Ac0_S1_pNP	5	5	10	0	1	C66H100N6O56S	1943.496730	1	1
HS_HexA5_HexN5_Ac0_S1_pNP	5	5	10	0	1	C66H100N6O56S	1960.523280	1	2
HS_HexA5_HexN5_Ac0_S1_pNP	5	5	10	0	1	C66H100N6O56S	1977.549829	1	3
HS_HexA5_HexN5_Ac0_S1_pNP	5	5	10	0	1	C66H100N6O56S	1994.576378	1	4
HS_HexA5_HexN5_Ac0_S1_pNP	5	5	10	0	1	C66H100N6O56S	2011.602927	1	5
HS_HexA5_HexN5_Ac0_S1_pNP	5	5	10	0	1	C66H100N6O56S	1948.452126	2	0
HS_HexA5_HexN5_Ac0_S1_pNP	5	5	10	0	1	C66H100N6O56S	1965.478675	2	1
HS_HexA5_HexN5_Ac0_S1_pNP	5	5	10	0	1	C66H100N6O56S	1982.505224	2	2
HS_HexA5_HexN5_Ac0_S1_pNP	5	5	10	0	1	C66H100N6O56S	1999.531773	2	3
HS_HexA5_HexN5_Ac0_S1_pNP	5	5	10	0	1	C66H100N6O56S	2016.558322	2	4
HS_HexA5_HexN5_Ac0_S2_pNP	5	5	10	0	2	C66H100N6O59S2	1984.445052	0	0
HS_HexA5_HexN5_Ac0_S2_pNP	5	5	10	0	2	C66H100N6O59S2	2001.471601	0	1
HS_HexA5_HexN5_Ac0_S2_pNP	5	5	10	0	2	C66H100N6O59S2	2018.498150	0	2
HS_HexA5_HexN5_Ac0_S2_pNP	5	5	10	0	2	C66H100N6O59S2	2035.524699	0	3
HS_HexA5_HexN5_Ac0_S2_pNP	5	5	10	0	2	C66H100N6O59S2	2052.551249	0	4
HS_HexA5_HexN5_Ac0_S2_pNP	5	5	10	0	2	C66H100N6O59S2	2069.577798	0	5
HS_HexA5_HexN5_Ac0_S2_pNP	5	5	10	0	2	C66H100N6O59S2	2086.604347	0	6
HS_HexA5_HexN5_Ac0_S2_pNP	5	5	10	0	2	C66H100N6O59S2	2103.630896	0	7
HS_HexA5_HexN5_Ac0_S2_pNP	5	5	10	0	2	C66H100N6O59S2	2006.426996	1	0
HS_HexA5_HexN5_Ac0_S2_pNP	5	5	10	0	2	C66H100N6O59S2	2023.453546	1	1
HS_HexA5_HexN5_Ac0_S2_pNP	5	5	10	0	2	C66H100N6O59S2	2040.480095	1	2
HS_HexA5_HexN5_Ac0_S2_pNP	5	5	10	0	2	C66H100N6O59S2	2057.506644	1	3
HS_HexA5_HexN5_Ac0_S2_pNP	5	5	10	0	2	C66H100N6O59S2	2074.533193	1	4
HS_HexA5_HexN5_Ac0_S2_pNP	5	5	10	0	2	C66H100N6O59S2	2091.559742	1	5
HS_HexA5_HexN5_Ac0_S2_pNP	5	5	10	0	2	C66H100N6O59S2	2108.586291	1	6
HS_HexA5_HexN5_Ac0_S2_pNP	5	5	10	0	2	C66H100N6O59S2	2028.408941	2	0
HS_HexA5_HexN5_Ac0_S2_pNP	5	5	10	0	2	C66H100N6O59S2	2045.435490	2	1
