name	HexA	HexN	DP	Ac	S	formula	neutral_mass	floating_NH3
HS_HexA5_HexN5_Ac0_S0_pNP	5	5	10	0	0	C66H100N6O53	1824.531422	0
HS_HexA5_HexN5_Ac0_S0_pNP	5	5	10	0	0	C66H100N6O53	1841.557971	1
HS_HexA5_HexN5_Ac0_S0_pNP	5	5	10	0	0	C66H100N6O53	1858.584520	2
HS_HexA5_HexN5_Ac0_S0_pNP	5	5	10	0	0	C66H100N6O53	1875.611069	3
HS_HexA5_HexN5_Ac0_S0_pNP	5	5	10	0	0	C66H100N6O53	1892.637618	4
HS_HexA5_HexN5_Ac0_S0_pNP	5	5	10	0	0	C66H100N6O53	1909.664168	5
HS_HexA5_HexN5_Ac0_S1_pNP	5	5	10	0	1	C66H100N6O56S	1904.488237	0
HS_HexA5_HexN5_Ac0_S1_pNP	5	5	10	0	1	C66H100N6O56S	1921.514786	1
HS_HexA5_HexN5_Ac0_S1_pNP	5	5	10	0	1	C66H100N6O56S	1938.541335	2
HS_HexA5_HexN5_Ac0_S1_pNP	5	5	10	0	1	C66H100N6O56S	1955.567884	3
HS_HexA5_HexN5_Ac0_S1_pNP	5	5	10	0	1	C66H100N6O56S	1972.594434	4
HS_HexA5_HexN5_Ac0_S1_pNP	5	5	10	0	1	C66H100N6O56S	1989.620983	5
HS_HexA5_HexN5_Ac0_S1_pNP	5	5	10	0	1	C66H100N6O56S	2006.647532	6
HS_HexA5_HexN5_Ac0_S2_pNP	5	5	10	0	2	C66H100N6O59S2	1984.445052	0
HS_HexA5_HexN5_Ac0_S2_pNP	5	5	10	0	2	C66H100N6O59S2	2001.471601	1
HS_HexA5_HexN5_Ac0_S2_pNP	5	5	10	0	2	C66H100N6O59S2	2018.498150	2
HS_HexA5_HexN5_Ac0_S2_pNP	5	5	10	0	2	C66H100N6O59S2	2035.524699	3
HS_HexA5_HexN5_Ac0_S2_pNP	5	5	10	0	2	C66H100N6O59S2	2052.551249	4
HS_HexA5_HexN5_Ac0_S2_pNP	5	5	10	0	2	C66H100N6O59S2	2069.577798	5
HS_HexA5_HexN5_Ac0_S2_pNP	5	5	10	0	2	C66H100N6O59S2	2086.604347	6
HS_HexA5_HexN5_Ac0_S2_pNP	5	5	10	0	2	C66H100N6O59S2	2103.630896	7
HS_HexA5_HexN5_Ac0_S3_pNP	5	5	10	0	3	C66H100N6O62S3	2064.401867	0
HS_HexA5_HexN5_Ac0_S3_pNP	5	5	10	0	3	C66H100N6O62S3	2081.428416	1
HS_HexA5_HexN5_Ac0_S3_pNP	5	5	10	0	3	C66H100N6O62S3	2098.454965	2
HS_HexA5_HexN5_Ac0_S3_pNP	5	5	10	0	3	C66H100N6O62S3	2115.481514	3
HS_HexA5_HexN5_Ac0_S3_pNP	5	5	10	0	3	C66H100N6O62S3	2132.508064	4
HS_HexA5_HexN5_Ac0_S3_pNP	5	5	10	0	3	C66H100N6O62S3	2149.534613	5
HS_HexA5_HexN5_Ac0_S3_pNP	5	5	10	0	3	C66H100N6O62S3	2166.561162	6
HS_HexA5_HexN5_Ac0_S3_pNP	5	5	10	0	3	C66H100N6O62S3	2183.587711	7
HS_HexA5_HexN5_Ac0_S3_pNP	5	5	10	0	3	C66H100N6O62S3	2200.614260	8
HS_HexA5_HexN5_Ac0_S4_pNP	5	5	10	0	4	C66H100N6O65S4	2144.358682	0
HS_HexA5_HexN5_Ac0_S4_pNP	5	5	10	0	4	C66H100N6O65S4	2161.385231	1
HS_HexA5_HexN5_Ac0_S4_pNP	5	5	10	0	4	C66H100N6O65S4	2178.411780	2
HS_HexA5_HexN5_Ac0_S4_pNP	5	5	10	0	4	C66H100N6O65S4	2195.438330	3
HS_HexA5_HexN5_Ac0_S4_pNP	5	5	10	0	4	C66H100N6O65S4	2212.464879	4
HS_HexA5_HexN5_Ac0_S4_pNP	5	5	10	0	4	C66H100N6O65S4	2229.491428	5
HS_HexA5_HexN5_Ac0_S4_pNP	5	5	10	0	4	C66H100N6O65S4	2246.517977	6
HS_HexA5_HexN5_Ac0_S4_pNP	5	5	10	0	4	C66H100N6O65S4	2263.544526	7
HS_HexA5_HexN5_Ac0_S4_pNP	5	5	10	0	4	C66H100N6O65S4	2280.571075	8
HS_HexA5_HexN5_Ac0_S4_pNP	5	5	10	0	4	C66H100N6O65S4	2297.597624	9
HS_HexA5_HexN5_Ac0_S5_pNP	5	5	10	0	5	C66H100N6O68S5	2224.315497	0
HS_HexA5_HexN5_Ac0_S5_pNP	5	5	10	0	5	C66H100N6O68S5	2241.342046	1
HS_HexA5_HexN5_Ac0_S5_pNP	5	5	10	0	5	C66H100N6O68S5	2258.368595	2
HS_HexA5_HexN5_Ac0_S5_pNP	5	5	10	0	5	C66H100N6O68S5	2275.395145	3
HS_HexA5_HexN5_Ac0_S5_pNP	5	5	10	0	5	C66H100N6O68S5	2292.421694	4
HS_HexA5_HexN5_Ac0_S5_pNP	5	5	10	0	5	C66H100N6O68S5	2309.448243	5
HS_HexA5_HexN5_Ac0_S5_pNP	5	5	10	0	5	C66H100N6O68S5	2326.474792	6
HS_HexA5_HexN5_Ac0_S5_pNP	5	5	10	0	5	C66H100N6O68S5	2343.501341	7
HS_HexA5_HexN5_Ac0_S5_pNP	5	5	10	0	5	C66H100N6O68S5	2360.527890	8
HS_HexA5_HexN5_Ac0_S5_pNP	5	5	10	0	5	C66H100N6O68S5	2377.554439	9
